#category	term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0000280	Nuclear division	19	291	0.62	0.00046	9606.ENSP00000247191,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000357812,9606.ENSP00000358925,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000376168	DLGAP5,FANCM,WRAP73,NUF2,BUB1B,MAD2L1,BIRC5,APITD1,AURKB,NEK2,KIF14,ASPM,TDRKH,PSRC1,RAD54L,KIF2C,CDC20,CDCA8,STRA13
GO Process	GO:0007049	Cell cycle	46	1313	0.35	0.00046	9606.ENSP00000236273,9606.ENSP00000247191,9606.ENSP00000255120,9606.ENSP00000262662,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000285735,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000308583,9606.ENSP00000311083,9606.ENSP00000313950,9606.ENSP00000354451,9606.ENSP00000355506,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356480,9606.ENSP00000357206,9606.ENSP00000357256,9606.ENSP00000357259,9606.ENSP00000357812,9606.ENSP00000358925,9606.ENSP00000360133,9606.ENSP00000360944,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000376168,9606.ENSP00000385510,9606.ENSP00000393139,9606.ENSP00000394394,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000434614,9606.ENSP00000435412,9606.ENSP00000439170,9606.ENSP00000441065,9606.ENSP00000476755,9606.ENSP00000484824	SYF2,DLGAP5,NASP,CDKN2C,FANCM,WRAP73,NUF2,SPC25,RHOC,BUB1B,MAD2L1,BIRC5,APITD1,CKS1B,AURKB,IQGAP3,EXO1,CENPF,NEK2,KIF14,ASPM,RNF2,NES,PMF1,PMF1-BGLAP,TDRKH,PSRC1,ITGB3BP,STIL,RAD54L,KIF2C,CDC20,CDCA8,RCC1,STRA13,GPSM2,CDC7,ANAPC7,STMN1,PPP2CA,CDC27,RPS6KA1,TBCE,SLC16A1,PPP1R12B,MUC1
GO Process	GO:0098813	Nuclear chromosome segregation	16	209	0.69	0.00046	9606.ENSP00000247191,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000358925,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146,9606.ENSP00000376168	DLGAP5,FANCM,WRAP73,NUF2,BUB1B,MAD2L1,APITD1,AURKB,CENPF,NEK2,KIF14,PSRC1,KIF2C,CDC20,CDCA8,STRA13
GO Process	GO:0030071	Regulation of mitotic metaphase/anaphase transition	9	56	1.01	0.00061	9606.ENSP00000247191,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000361540,9606.ENSP00000394394,9606.ENSP00000434614	DLGAP5,BUB1B,MAD2L1,BIRC5,AURKB,CENPF,CDC20,ANAPC7,CDC27
GO Process	GO:0002366	Leukocyte activation involved in immune response	28	626	0.45	0.00089	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000351497,9606.ENSP00000355506,9606.ENSP00000355718,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357152,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,FCGR2B,EXO1,DLL1,TMEM63A,CR1,CD1C,S100A13,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2
GO Process	GO:0007051	Spindle organization	13	145	0.76	0.00089	9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000282074,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356379,9606.ENSP00000360944,9606.ENSP00000361540,9606.ENSP00000362937,9606.ENSP00000385510,9606.ENSP00000410452,9606.ENSP00000439170	WRAP73,NUF2,SPC25,BIRC5,AURKB,NEK2,ASPM,STIL,CDC20,RCC1,GPSM2,STMN1,TBCE
GO Process	GO:0051983	Regulation of chromosome segregation	11	104	0.83	0.0011	9606.ENSP00000247191,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000394394,9606.ENSP00000434614	DLGAP5,BUB1B,MAD2L1,BIRC5,AURKB,CENPF,NEK2,KIF2C,CDC20,ANAPC7,CDC27
GO Process	GO:0000070	Mitotic sister chromatid segregation	11	108	0.81	0.0013	9606.ENSP00000247191,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000296509,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000358925,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146	DLGAP5,WRAP73,NUF2,MAD2L1,AURKB,NEK2,KIF14,PSRC1,KIF2C,CDC20,CDCA8
GO Process	GO:0032981	Mitochondrial respiratory chain complex I assembly	9	66	0.94	0.0013	9606.ENSP00000233627,9606.ENSP00000252102,9606.ENSP00000263774,9606.ENSP00000266544,9606.ENSP00000274137,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000356972,9606.ENSP00000362060	NDUFS7,NDUFA2,NDUFS3,NDUFA9,NDUFS6,NDUFV1,NDUFV2,NDUFS2,NDUFS5
GO Process	GO:0000819	Sister chromatid segregation	12	133	0.76	0.0014	9606.ENSP00000247191,9606.ENSP00000270708,9606.ENSP00000271452,9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000313950,9606.ENSP00000355966,9606.ENSP00000356319,9606.ENSP00000358925,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362146	DLGAP5,WRAP73,NUF2,BUB1B,MAD2L1,AURKB,NEK2,KIF14,PSRC1,KIF2C,CDC20,CDCA8
GO Process	GO:0043299	Leukocyte degranulation	24	506	0.48	0.0014	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,TMEM63A,CR1,S100A13,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2
GO Process	GO:0045055	Regulated exocytosis	29	697	0.42	0.0015	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000264870,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357076,9606.ENSP00000357307,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112,9606.ENSP00000477344	RETN,SELL,CHI3L1,F13A1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,TMEM63A,CR1,TAGLN2,SYT11,S100A13,S100A8,S100A12,CTSS,ECM1,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2,SYT6
GO Process	GO:0051649	Establishment of localization in cell	66	2375	0.25	0.0016	9606.ENSP00000221515,9606.ENSP00000235329,9606.ENSP00000236147,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000252486,9606.ENSP00000255409,9606.ENSP00000256637,9606.ENSP00000262812,9606.ENSP00000263934,9606.ENSP00000264870,9606.ENSP00000271234,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000271452,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000334657,9606.ENSP00000342026,9606.ENSP00000346088,9606.ENSP00000346829,9606.ENSP00000348888,9606.ENSP00000349016,9606.ENSP00000355800,9606.ENSP00000355922,9606.ENSP00000356016,9606.ENSP00000356319,9606.ENSP00000357048,9606.ENSP00000357051,9606.ENSP00000357076,9606.ENSP00000357307,9606.ENSP00000357555,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000358045,9606.ENSP00000358814,9606.ENSP00000358925,9606.ENSP00000359345,9606.ENSP00000360124,9606.ENSP00000360569,9606.ENSP00000361298,9606.ENSP00000362146,9606.ENSP00000363117,9606.ENSP00000363257,9606.ENSP00000363603,9606.ENSP00000363676,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000379888,9606.ENSP00000381565,9606.ENSP00000385510,9606.ENSP00000401010,9606.ENSP00000420443,9606.ENSP00000428085,9606.ENSP00000433642,9606.ENSP00000437955,9606.ENSP00000440704,9606.ENSP00000445306,9606.ENSP00000451112,9606.ENSP00000472985,9606.ENSP00000477344	RETN,MFN2,SELL,DLGAP5,KIF17,APOE,CHI3L1,SORT1,COPE,KIF1B,F13A1,FNBP1L,CD53,FCGR2A,NUF2,ATP8B4,AGL,NCSTN,MAD2L1,BIRC5,TRIM46,PRDX6,RPL22,WLS,PIGR,PEX14,TMEM63A,CENPF,CR1,KIF14,COPA,PEX19,TAGLN2,SYT11,RPS27,S100A13,S100A8,S100A12,CTSS,ECM1,AHCYL1,PSRC1,RPL5,PGM1,SCP2,KIF2C,CDCA8,FGR,ZDHHC18,FUCA1,RPL11,PADI2,SLC2A5,RPS8,DIAPH1,GPSM2,CAPZB,CNIH4,RPL30,FCGR3B,HIF1A,SYTL1,ATP1A1,NPC2,RPS5,SYT6
GO Process	GO:0002444	Myeloid leukocyte mediated immunity	24	516	0.47	0.0017	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,TMEM63A,CR1,S100A13,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2
GO Process	GO:0002275	Myeloid cell activation involved in immune response	24	522	0.47	0.0019	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357688,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,TMEM63A,CR1,S100A13,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2
GO Process	GO:0006996	Organelle organization	86	3450	0.2	0.0019	9606.ENSP00000233627,9606.ENSP00000235329,9606.ENSP00000247191,9606.ENSP00000247986,9606.ENSP00000251527,9606.ENSP00000252102,9606.ENSP00000252486,9606.ENSP00000253063,9606.ENSP00000255120,9606.ENSP00000256637,9606.ENSP00000263774,9606.ENSP00000263980,9606.ENSP00000266544,9606.ENSP00000267430,9606.ENSP00000270708,9606.ENSP00000271234,9606.ENSP00000271452,9606.ENSP00000272238,9606.ENSP00000274137,9606.ENSP00000282074,9606.ENSP00000284509,9606.ENSP00000287598,9606.ENSP00000289707,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000305416,9606.ENSP00000308583,9606.ENSP00000313950,9606.ENSP00000318094,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000334657,9606.ENSP00000349016,9606.ENSP00000355506,9606.ENSP00000355759,9606.ENSP00000355922,9606.ENSP00000355966,9606.ENSP00000356110,9606.ENSP00000356125,9606.ENSP00000356319,9606.ENSP00000356379,9606.ENSP00000356480,9606.ENSP00000356972,9606.ENSP00000357051,9606.ENSP00000357307,9606.ENSP00000357360,9606.ENSP00000357475,9606.ENSP00000357555,9606.ENSP00000357644,9606.ENSP00000357812,9606.ENSP00000358151,9606.ENSP00000358925,9606.ENSP00000359345,9606.ENSP00000360034,9606.ENSP00000360133,9606.ENSP00000360266,9606.ENSP00000360569,9606.ENSP00000360762,9606.ENSP00000360913,9606.ENSP00000360944,9606.ENSP00000361043,9606.ENSP00000361298,9606.ENSP00000361540,9606.ENSP00000362060,9606.ENSP00000362146,9606.ENSP00000362937,9606.ENSP00000363676,9606.ENSP00000364635,9606.ENSP00000365777,9606.ENSP00000365851,9606.ENSP00000376168,9606.ENSP00000376899,9606.ENSP00000378974,9606.ENSP00000381565,9606.ENSP00000381740,9606.ENSP00000385510,9606.ENSP00000401010,9606.ENSP00000410452,9606.ENSP00000418447,9606.ENSP00000419494,9606.ENSP00000419740,9606.ENSP00000439170,9606.ENSP00000441065,9606.ENSP00000460964,9606.ENSP00000463154,9606.ENSP00000472985	NDUFS7,MFN2,DLGAP5,KIF17,ESYT2,NDUFA2,APOE,SESN2,NASP,SORT1,NDUFS3,SLC9A1,NDUFA9,FANCM,WRAP73,FNBP1L,NUF2,ATP6V1C2,NDUFS6,SPC25,ATP8B4,BUB1B,SLAMF8,MAD2L1,BIRC5,S1PR1,APITD1,AURKB,SCMH1,NDUFV1,NDUFV2,TRIM46,PEX14,EXO1,PARP1,CENPF,NEK2,NUCKS1,NUAK2,KIF14,ASPM,RNF2,NDUFS2,PEX19,SYT11,MTX1,ATP8B2,RPS27,GATAD2B,TDRKH,HIST2H2BE,PSRC1,RPL5,SERBP1,ITGB3BP,JUN,SCP2,ANKRD1,SPATA6,STIL,RAD54L,KIF2C,CDC20,NDUFS5,CDCA8,RCC1,RPL11,PADI2,MTHFR,BMI1,STRA13,PTGFRN,MAPK8,DIAPH1,PARP3,GPSM2,CAPZB,STMN1,PPP2CA,RYBP,NSUN4,TBCE,SLC16A1,ATPAF1,ANP32E,RPS5
GO Process	GO:0007094	Mitotic spindle assembly checkpoint	6	23	1.22	0.0019	9606.ENSP00000287598,9606.ENSP00000296509,9606.ENSP00000301633,9606.ENSP00000313950,9606.ENSP00000355922,9606.ENSP00000361540	BUB1B,MAD2L1,BIRC5,AURKB,CENPF,CDC20
GO Process	GO:0043312	Neutrophil degranulation	23	484	0.48	0.0019	9606.ENSP00000221515,9606.ENSP00000236147,9606.ENSP00000255409,9606.ENSP00000271324,9606.ENSP00000271450,9606.ENSP00000284509,9606.ENSP00000294724,9606.ENSP00000294785,9606.ENSP00000342026,9606.ENSP00000348888,9606.ENSP00000355800,9606.ENSP00000356016,9606.ENSP00000357722,9606.ENSP00000357726,9606.ENSP00000357981,9606.ENSP00000360124,9606.ENSP00000363117,9606.ENSP00000363603,9606.ENSP00000364635,9606.ENSP00000366641,9606.ENSP00000381565,9606.ENSP00000433642,9606.ENSP00000451112	RETN,SELL,CHI3L1,CD53,FCGR2A,ATP8B4,AGL,NCSTN,PRDX6,PIGR,TMEM63A,CR1,S100A8,S100A12,CTSS,PGM1,FGR,FUCA1,PADI2,SLC2A5,DIAPH1,FCGR3B,NPC2
GO Process	GO:0022900	Electron transport chain	13	174	0.68	0.0022	9606.ENSP00000233627,9606.ENSP00000252102,9606.ENSP00000263774,9606.ENSP00000266544,9606.ENSP00000270792,9606.ENSP00000274137,9606.ENSP00000322450,9606.ENSP00000327268,9606.ENSP00000356505,9606.ENSP00000356972,9606.ENSP00000362060,9606.ENSP00000364490,9606.ENSP00000364649	NDUFS7,NDUFA2,NDUFS3,NDUFA9,SH3BGRL3,NDUFS6,NDUFV1,NDUFV2,NCF2,NDUFS2,NDUFS5,ALDH4A1,SDHB
