"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"hsa05010:Alzheimer's disease"	-0.0162843552420881	1	239	159	2
"hsa05200:Pathways in cancer"	-0.0176906601758748	1	239	322	4
"hsa05222:Small cell lung cancer"	-0.0223490452690424	1	239	84	1
"hsa04210:Apoptosis"	-0.0260436265498306	1	239	87	1
"hsa04666:Fc gamma R-mediated phagocytosis"	-0.0305908035108006	1	239	91	1
"hsa04144:Endocytosis"	-0.0367083972572603	1	239	194	2
"hsa04510:Focal adhesion"	-0.0381213440362650	1	239	197	2
"hsa04620:Toll-like receptor signaling pathway"	-0.0403829915208104	1	239	101	1
"hsa04270:Vascular smooth muscle contraction"	-0.0491347595547566	1	239	112	1
"hsa04360:Axon guidance"	-0.0591794024118995	1	239	128	1
"hsa04530:Tight junction"	-0.0602611331811303	1	239	130	1
"hsa04514:Cell adhesion molecules (CAMs)"	-0.0607896123355637	1	239	131	1
"hsa00230:Purine metabolism"	-0.0725298770954438	1	239	158	1
"hsa04062:Chemokine signaling pathway"	-0.0811048056377059	1	239	186	1
"hsa04740:Olfactory transduction"	-0.104281818378286	1	239	357	1
"hsa00983:Drug metabolism - other enzymes"	-0.129491902411900	1	239	50	0
"hsa05340:Primary immunodeficiency"	-0.129491902411900	1	239	33	0
"hsa04012:ErbB signaling pathway"	-0.129491902411900	1	239	87	0
"hsa04370:VEGF signaling pathway"	-0.129491902411900	1	239	75	0
"hsa04630:Jak-STAT signaling pathway"	-0.129491902411900	1	239	154	0
"hsa04660:T cell receptor signaling pathway"	-0.129491902411900	1	239	108	0
"hsa04664:Fc epsilon RI signaling pathway"	-0.129491902411900	1	239	77	0
"hsa04722:Neurotrophin signaling pathway"	-0.129491902411900	1	239	124	0
"hsa04910:Insulin signaling pathway"	-0.129491902411900	1	239	134	0
"hsa04920:Adipocytokine signaling pathway"	-0.129491902411900	1	239	67	0
"hsa05210:Colorectal cancer"	-0.129491902411900	1	239	62	0
"hsa05211:Renal cell carcinoma"	-0.129491902411900	1	239	70	0
"hsa05213:Endometrial cancer"	-0.129491902411900	1	239	52	0
"hsa05221:Acute myeloid leukemia"	-0.129491902411900	1	239	54	0
"hsa05223:Non-small cell lung cancer"	-0.129491902411900	1	239	52	0
"hsa04146:Peroxisome"	-0.129491902411900	1	239	74	0
"hsa00520:Amino sugar and nucleotide sugar metabolism"	-0.129491902411900	1	239	44	0
"hsa04622:RIG-I-like receptor signaling pathway"	-0.129491902411900	1	239	71	0
"hsa04260:Cardiac muscle contraction"	-0.129491902411900	1	239	74	0
"hsa03050:Proteasome"	-0.129491902411900	1	239	43	0
"hsa04940:Type I diabetes mellitus"	-0.129491902411900	1	239	42	0
"hsa05310:Asthma"	-0.129491902411900	1	239	31	0
"hsa05320:Autoimmune thyroid disease"	-0.129491902411900	1	239	52	0
"hsa05330:Allograft rejection"	-0.129491902411900	1	239	37	0
"hsa05332:Graft-versus-host disease"	-0.129491902411900	1	239	40	0
"hsa05416:Viral myocarditis"	-0.129491902411900	1	239	70	0
"hsa00565:Ether lipid metabolism"	-0.129491902411900	1	239	32	0
"hsa00590:Arachidonic acid metabolism"	-0.129491902411900	1	239	52	0
"hsa00591:Linoleic acid metabolism"	-0.129491902411900	1	239	28	0
"hsa00592:alpha-Linolenic acid metabolism"	-0.129491902411900	1	239	18	0
"hsa04730:Long-term depression"	-0.129491902411900	1	239	68	0
"hsa04912:GnRH signaling pathway"	-0.129491902411900	1	239	98	0
"hsa04310:Wnt signaling pathway"	-0.129491902411900	1	239	150	0
"hsa00563:Glycosylphosphatidylinositol(GPI)-anchor biosynthesis"	-0.129491902411900	1	239	25	0
"hsa00601:Glycosphingolipid biosynthesis - lacto and neolacto series"	-0.129491902411900	1	239	25	0
"hsa04670:Leukocyte transendothelial migration"	-0.129491902411900	1	239	113	0
"hsa02010:ABC transporters"	-0.129491902411900	1	239	43	0
"hsa05100:Bacterial invasion of epithelial cells"	-0.129491902411900	1	239	68	0
"hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate"	-0.129491902411900	1	239	22	0
"hsa05130:Pathogenic Escherichia coli infection"	-0.129491902411900	1	239	52	0
"hsa05131:Shigellosis"	-0.129491902411900	1	239	60	0
"hsa03450:Non-homologous end-joining"	-0.129491902411900	1	239	13	0
"hsa00760:Nicotinate and nicotinamide metabolism"	-0.129491902411900	1	239	24	0
"hsa04080:Neuroactive ligand-receptor interaction"	-0.129491902411900	1	239	269	0
"hsa04520:Adherens junction"	-0.129491902411900	1	239	72	0
"hsa00533:Glycosaminoglycan biosynthesis - keratan sulfate"	-0.129491902411900	1	239	15	0
"hsa00830:Retinol metabolism"	-0.129491902411900	1	239	61	0
"hsa05120:Epithelial cell signaling in Helicobacter pylori infection"	-0.129491902411900	1	239	65	0
"hsa04130:SNARE interactions in vesicular transport"	-0.129491902411900	1	239	35	0
"hsa05217:Basal cell carcinoma"	-0.129491902411900	1	239	55	0
"hsa04623:Cytosolic DNA-sensing pathway"	-0.129491902411900	1	239	54	0
"hsa04350:TGF-beta signaling pathway"	-0.129491902411900	1	239	84	0
"hsa04966:Collecting duct acid secretion"	-0.129491902411900	1	239	25	0
"hsa05110:Vibrio cholerae infection"	-0.129491902411900	1	239	52	0
"hsa00603:Glycosphingolipid biosynthesis - globo series"	-0.129491902411900	1	239	14	0
"hsa05146:Amoebiasis"	-0.129491902411900	1	239	102	0
"hsa05216:Thyroid cancer"	-0.129491902411900	1	239	26	0
"hsa04060:Cytokine-cytokine receptor interaction"	-0.129491902411900	1	239	261	0
"hsa00430:Taurine and hypotaurine metabolism"	-0.129491902411900	1	239	10	0
"hsa04540:Gap junction"	-0.129491902411900	1	239	86	0
"hsa00920:Sulfur metabolism"	-0.129491902411900	1	239	12	0
"hsa04720:Long-term potentiation"	-0.129491902411900	1	239	68	0
"hsa05014:Amyotrophic lateral sclerosis (ALS)"	-0.129491902411900	1	239	51	0
"hsa04916:Melanogenesis"	-0.129491902411900	1	239	99	0
"hsa04140:Regulation of autophagy"	-0.129491902411900	1	239	33	0
"hsa00600:Sphingolipid metabolism"	-0.129491902411900	1	239	39	0
"hsa00100:Steroid biosynthesis"	-0.129491902411900	1	239	17	0
"hsa03022:Basal transcription factors"	-0.129491902411900	1	239	34	0
"hsa00900:Terpenoid backbone biosynthesis"	-0.129491902411900	1	239	15	0
"hsa04020:Calcium signaling pathway"	-0.129491902411900	1	239	173	0
"hsa04970:Salivary secretion"	-0.129491902411900	1	239	83	0
"hsa04971:Gastric acid secretion"	-0.129491902411900	1	239	71	0
"hsa00040:Pentose and glucuronate interconversions"	-0.129491902411900	1	239	27	0
"hsa00053:Ascorbate and aldarate metabolism"	-0.129491902411900	1	239	25	0
"hsa00500:Starch and sucrose metabolism"	-0.129491902411900	1	239	49	0
"hsa00980:Metabolism of xenobiotics by cytochrome P450"	-0.129491902411900	1	239	67	0
"hsa00450:Selenoamino acid metabolism"	-0.129491902411900	1	239	25	0
"hsa00511:Other glycan degradation"	-0.129491902411900	1	239	16	0
"hsa00531:Glycosaminoglycan degradation"	-0.129491902411900	1	239	19	0
"hsa00120:Primary bile acid biosynthesis"	-0.129491902411900	1	239	16	0
"hsa04964:Proximal tubule bicarbonate reclamation"	-0.129491902411900	1	239	21	0
"hsa04742:Taste transduction"	-0.129491902411900	1	239	49	0
"hsa00512:O-Glycan biosynthesis"	-0.129491902411900	1	239	30	0
"hsa00534:Glycosaminoglycan biosynthesis - heparan sulfate"	-0.129491902411900	1	239	25	0
"hsa00350:Tyrosine metabolism"	-0.129491902411900	1	239	39	0
"hsa00480:Glutathione metabolism"	-0.129491902411900	1	239	44	0
"hsa04614:Renin-angiotensin system"	-0.129491902411900	1	239	17	0
"hsa04340:Hedgehog signaling pathway"	-0.129491902411900	1	239	56	0
"hsa00250:Alanine, aspartate and glutamate metabolism"	-0.129491902411900	1	239	32	0
"hsa04930:Type II diabetes mellitus"	-0.129491902411900	1	239	46	0
"hsa04744:Phototransduction"	-0.129491902411900	1	239	27	0
"hsa04710:Circadian rhythm - mammal"	-0.129491902411900	1	239	22	0
"hsa00020:Citrate cycle (TCA cycle)"	-0.129491902411900	1	239	30	0
"hsa04320:Dorso-ventral axis formation"	-0.129491902411900	1	239	24	0
"hsa04950:Maturity onset diabetes of the young"	-0.129491902411900	1	239	24	0
"hsa00790:Folate biosynthesis"	-0.129491902411900	1	239	11	0
"hsa00051:Fructose and mannose metabolism"	-0.129491902411900	1	239	33	0
"hsa00030:Pentose phosphate pathway"	-0.129491902411900	1	239	26	0
"hsa00052:Galactose metabolism"	-0.129491902411900	1	239	26	0
"hsa04960:Aldosterone-regulated sodium reabsorption"	-0.129491902411900	1	239	39	0
"hsa00604:Glycosphingolipid biosynthesis - ganglio series"	-0.129491902411900	1	239	14	0
"hsa00740:Riboflavin metabolism"	-0.129491902411900	1	239	16	0
"CYCLIN A1 ASSOCIATED EVENTS DURING G2 M TRANSITION"	1.83356089414473	0.0573321144380533	239	13	3
"INITIAL TRIGGERING OF COMPLEMENT"	1.83356089414473	0.0573321144380533	239	13	3
"COMPLEMENT CASCADE"	1.10663781722165	0.179264901273656	239	20	3
"PEPTIDE CHAIN ELONGATION"	1.05784263649876	4.9605787271713e-06	239	84	13
"VIRAL MRNA TRANSLATION"	1.05784263649876	4.9605787271713e-06	239	84	13
"G2 M CHECKPOINTS"	1.04235210293594	0.0106057117608935	239	42	6
"HOMOLOGOUS RECOMBINATION REPAIR"	1.04235210293594	0.614805609441631	239	14	2
"INFLUENZA VIRAL RNA TRANSCRIPTION AND REPLICATION"	1.02936508994892	2.8611617099527e-06	239	100	15
"FORMATION OF A POOL OF FREE 40S SUBUNITS"	1.00131866828548	4.9605787271713e-06	239	95	14
"MITOTIC PROMETAPHASE"	0.943451004034839	4.96180378620325e-05	239	91	12
"GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT"	0.870923531507366	8.4694031864751e-06	239	106	14
"REGULATION OF GENE EXPRESSION IN BETA CELLS"	0.847546908130743	2.59306707670195e-05	239	100	13
"INTRINSIC PATHWAY"	0.815461346633416	0.821127643697944	239	17	2
"INFLUENZA LIFE CYCLE"	0.771675411206614	4.9605787271713e-06	239	134	16
"INACTIVATION OF APC VIA DIRECT INHIBITION OF THE APCOMPLEX"	0.756637817221652	0.829566776144516	239	18	2
"MICRORNA BIOGENESIS"	0.756637817221652	0.829566776144516	239	18	2
"MITOCHONDRIAL TRNA AMINOACYLATION"	0.756637817221652	0.829566776144516	239	18	2
"TRANSLATION"	0.748163240950465	2.76224564668332e-05	239	119	14
"ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS"	0.729610790194625	0.179264901273656	239	37	4
"REGULATION OF BETA CELL DEVELOPMENT"	0.720923531507366	6.34159105586587e-05	239	113	13
"FORMATION OF THE TERNARY COMPLEX AND SUBSEQUENTLY THE 43S COMPLEX"	0.694137817221652	0.0230579234392137	239	49	6
"INSULIN SYNTHESIS AND SECRETION"	0.677897659741337	4.96180378620325e-05	239	128	14
"A THIRD PROTEOLYTIC CLEAVAGE RELEASES NICD"	0.656637817221652	1	239	10	1
"DOUBLE STRAND BREAK REPAIR"	0.656637817221652	0.970898873911582	239	20	2
"MITOCHONDRIAL FATTY ACID BETA OXIDATION"	0.656637817221652	1	239	10	1
"NEF MEDIATED DOWNREGULATION OF MHC CLASS I COMPLEX CELL SURFACE EXPRESSION"	0.656637817221652	1	239	10	1
"RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 3 PROMOTER"	0.613780674364509	1	239	21	2
"HDL MEDIATED LIPID TRANSPORT"	0.57481963540347	1	239	11	1
"IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL"	0.57481963540347	0.0775312695465064	239	66	6
"METABOLISM OF NITRIC OXIDE"	0.57481963540347	1	239	11	1
"REGULATED PROTEOLYSIS OF P75NTR"	0.57481963540347	1	239	11	1
"TRANSLATION INITIATION COMPLEX FORMATION"	0.57481963540347	0.0423235636273108	239	56	6
"MRNA DECAY BY 3 TO 5 EXORIBONUCLEASE"	0.57481963540347	1	239	11	1
"APOPTOSIS INDUCED DNA FRAGMENTATION"	0.57481963540347	1	239	11	1
"G2 M TRANSITION"	0.544137817221652	0.0555290615212177	239	80	7
"GENERIC TRANSCRIPTION PATHWAY"	0.528066388650223	0.69160085748729	239	35	3
"FACILITATIVE NA INDEPENDENT GLUCOSE TRANSPORTERS"	0.506637817221651	1	239	12	1
"LOSS OF NLP FROM MITOTIC CENTROSOMES"	0.506637817221651	0.207051804918048	239	60	5
"RNA POLYMERASE III CHAIN ELONGATION"	0.506637817221651	1	239	12	1
"MITOTIC M M G1 PHASES"	0.506637817221651	0.00205045705912317	239	156	13
"CELL CYCLE CHECKPOINTS"	0.499757083276698	0.0230579234392137	239	109	9
"NOTCH HLH TRANSCRIPTION PATHWAY"	0.448945509529344	1	239	13	1
"NRIF SIGNALS CELL DEATH FROM THE NUCLEUS"	0.448945509529344	1	239	13	1
"CELL CYCLE MITOTIC"	0.412266956294499	4.96180378620325e-05	239	302	22
"CENTROSOME MATURATION"	0.40881173026513	0.347939314048908	239	69	5
"AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL"	0.399494960078795	1	239	14	1
"POLYMERASE SWITCHING"	0.399494960078795	1	239	14	1
"RNA POLYMERASE III TRANSCRIPTION INITIATION"	0.399494960078795	1	239	28	2
"VIRAL MESSENGER RNA SYNTHESIS"	0.399494960078795	1	239	14	1
"REGULATION OF AMPK ACTIVITY VIA LKB1"	0.399494960078795	1	239	14	1
"RNA POLYMERASE I PROMOTER OPENING"	0.399494960078795	1	239	28	2
"PACKAGING OF TELOMERE ENDS"	0.377327472394065	1	239	29	2
"FORMATION OF ATP BY CHEMIOSMOTIC COUPLING"	0.356637817221652	1	239	15	1
"REPAIR SYNTHESIS OF PATCH 27 30 BASES LONG BY DNA POLYMERASE"	0.356637817221652	1	239	15	1
"SEMA3A PAK DEPENDENT AXON REPULSION"	0.356637817221652	1	239	15	1
"EFFECTS OF PIP2 HYDROLYSIS"	0.356637817221652	1	239	15	1
"ACTIVATION OF BH3 ONLY PROTEINS"	0.319137817221652	1	239	16	1
"FORMATION OF FIBRIN CLOT CLOTTING CASCADE"	0.319137817221652	1	239	32	2
"GLOBAL GENOMIC NER"	0.319137817221652	1	239	32	2
"NUCLEOTIDE EXCISION REPAIR"	0.319137817221652	1	239	48	3
"PHOSPHORYLATION OF THE APC"	0.319137817221652	1	239	16	1
"SIGNALING BY NOTCH"	0.319137817221652	1	239	16	1
"METABOLISM OF PROTEINS"	0.313780674364509	0.0106057117608935	239	211	14
"RNA POLYMERASE III TRANSCRIPTION"	0.302092362676197	1	239	33	2
"ACTIVATED AMPK STIMULATES FATTY ACID OXIDATION IN MUSCLE"	0.286049581927534	1	239	17	1
"APCDC20 MEDIATED DEGRADATION OF CYCLIN B"	0.286049581927534	1	239	17	1
"BRANCHED CHAIN AMINO ACID CATABOLISM"	0.286049581927534	1	239	17	1
"CONVERSION FROM APC CDC20 TO APC CDH1 IN LATE ANAPHASE"	0.286049581927534	1	239	17	1
"RNA POLYMERASE III TRANSCRIPTION TERMINATION"	0.286049581927534	1	239	17	1
"SYNTHESIS AND INTERCONVERSION OF NUCLEOTIDE DI AND TRIPHOSPHATES"	0.286049581927534	1	239	17	1
"ENERGY DEPENDENT REGULATION OF MTOR BY LKB1 AMPK"	0.286049581927534	1	239	17	1
"PYRUVATE METABOLISM"	0.256637817221652	1	239	18	1
"TRNA AMINOACYLATION"	0.243124303708138	1	239	37	2
"DUAL INCISION REACTION IN GG NER"	0.230322027747967	1	239	19	1
"TELOMERE MAINTENANCE"	0.230322027747967	1	239	57	3
"UNFOLDED PROTEIN RESPONSE"	0.230322027747967	1	239	19	1
"GENE EXPRESSION"	0.208790927269499	0.00677493693729478	239	419	22
"LAGGING STRAND SYNTHESIS"	0.206637817221652	1	239	20	1
"RNA POLYMERASE III TRANSCRIPTION INITIATION FROM TYPE 2 PROMOTER"	0.206637817221652	1	239	20	1
"G BETA GAMMA SIGNALLING THROUGH PLC BETA"	0.206637817221652	1	239	20	1
"DNA REPAIR"	0.197814287809887	1	239	102	5
"NEF MEDIATES DOWN MODULATION OF CELL SURFACE RECEPTORS BY RECRUITING THEM TO CLATHRIN ADAPT"	0.18520924579308	1	239	21	1
"ADP SIGNALLING THROUGH P2Y PURINOCEPTOR 12"	0.18520924579308	1	239	21	1
"SMOOTH MUSCLE CONTRACTION"	0.18520924579308	1	239	21	1
"TRANSCRIPTION COUPLED NER"	0.175242468384442	1	239	43	2
"RNA POLYMERASE I III AND MITOCHONDRIAL TRANSCRIPTION"	0.170430920669927	1	239	87	4
"DIABETES PATHWAYS"	0.15926939616902	0.0573321144380533	239	381	18
"ABORTIVE ELONGATION OF HIV1 TRANSCRIPT IN THE ABSENCE OF TAT"	0.147942165047739	1	239	23	1
"THROMBOXANE SIGNALLING THROUGH TP RECEPTOR"	0.147942165047739	1	239	23	1
"REGULATION OF APC ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE"	0.142352102935937	1	239	70	3
"APOPTOTIC EXECUTION PHASE"	0.131637817221652	1	239	48	2
"G BETA GAMMA SIGNALLING THROUGH PI3KGAMMA"	0.131637817221652	1	239	24	1
"RHO GTPASE CYCLE"	0.122491475758237	1	239	123	5
"ADP SIGNALLING THROUGH P2Y PURINOCEPTOR 1"	0.116637817221652	1	239	25	1
"RNA POL II CTD PHOSPHORYLATION AND INTERACTION WITH CE"	0.116637817221652	1	239	25	1
"RNA POLYMERASE I PROMOTER CLEARANCE"	0.116637817221652	1	239	50	2
"DUAL INCISION REACTION IN TC NER"	0.089971150554985	1	239	27	1
"G PROTEIN BETA GAMMA SIGNALLING"	0.089971150554985	1	239	27	1
"GS ALPHA MEDIATED EVENTS IN GLUCAGON SIGNALLING"	0.089971150554985	1	239	27	1
"LIPOPROTEIN METABOLISM"	0.089971150554985	1	239	27	1
"MTOR SIGNALLING"	0.089971150554985	1	239	27	1
"NEP NS2 INTERACTS WITH THE CELLULAR EXPORT MACHINERY"	0.089971150554985	1	239	27	1
"THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS"	0.089971150554985	1	239	27	1
"EXTENSION OF TELOMERES"	0.0780663886502231	1	239	28	1
"G PROTEIN ACTIVATION"	0.0780663886502231	1	239	28	1
"THE ROLE OF NEF IN HIV1 REPLICATION AND DISEASE PATHOGENESIS"	0.0780663886502231	1	239	28	1
"CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION "	0.0669826448078585	1	239	58	2
"INTRINSIC PATHWAY FOR APOPTOSIS"	0.0669826448078585	1	239	29	1
"NUCLEAR IMPORT OF REV PROTEIN"	0.0669826448078585	1	239	29	1
"REV MEDIATED NUCLEAR EXPORT OF HIV1 RNA"	0.0669826448078585	1	239	29	1
"TRAFFICKING OF AMPA RECEPTORS"	0.0669826448078585	1	239	29	1
"INHIBITION OF INSULIN SECRETION BY ADRENALINE NORADRENALINE"	0.0669826448078585	1	239	29	1
"ACTIVATION OF THE PRE REPLICATIVE COMPLEX"	0.0566378172216517	1	239	30	1
"TAT MEDIATED HIV1 ELONGATION ARREST AND RECOVERY"	0.0566378172216517	1	239	30	1
"ACTIVATION OF KAINATE RECEPTORS UPON GLUTAMATE BINDING"	0.0566378172216517	1	239	30	1
"CDC20 PHOSPHO APC MEDIATED DEGRADATION OF CYCLIN A"	0.046960397866813	1	239	62	2
"DNA STRAND ELONGATION"	0.046960397866813	1	239	31	1
"FORMATION OF THE EARLY ELONGATION COMPLEX"	0.046960397866813	1	239	31	1
"MRNA PROCESSING"	0.046960397866813	1	239	31	1
"SIGNAL AMPLIFICATION"	0.046960397866813	1	239	31	1
"GLUCAGON TYPE LIGAND RECEPTORS"	0.0293650899489244	1	239	33	1
"G1 S TRANSITION"	0.0239645498949189	1	239	101	3
"GLUCAGON SIGNALING IN METABOLIC REGULATION"	0.0213436995745929	1	239	34	1
"S PHASE"	0.0187737395517488	1	239	103	3
"INNATE IMMUNITY SIGNALING"	0.0137806743645088	1	239	105	3
"METABLISM OF NUCLEOTIDES"	0.0137806743645088	1	239	70	2
"MRNA SPLICING"	0.0089742658197825	1	239	107	3
"SIGNALING IN IMMUNE SYSTEM"	0.00819061225270757	1	239	322	9
"PYRUVATE METABOLISM AND TCA CYCLE"	0.00663781722165158	1	239	36	1
"GENES INVOLVED IN APOPTOTIC CLEAVAGE OF CELLULAR PROTEINS"	-0.000118939535105014	1	239	37	1
"PI3K AKT SIGNALLING"	-0.000118939535105014	1	239	37	1
"HIV1 TRANSCRIPTION INITIATION"	-0.0065200775151905	1	239	38	1
"HIV1 TRANSCRIPTION ELONGATION"	-0.0183621827783483	1	239	40	1
"INTEGRIN CELL SURFACE INTERACTIONS"	-0.0183621827783483	1	239	80	2
"NEURORANSMITTER RECEPTOR BINDING AND DOWNSTREAM TRANSMISSION IN THE POSTSYNAPTIC CELL"	-0.0183621827783483	1	239	80	2
"PLATELET ACTIVATION"	-0.0183621827783483	1	239	160	4
"PLATELET DEGRANULATION"	-0.0238499876563971	1	239	82	2
"TRANSCRIPTION"	-0.0238499876563971	1	239	164	4
"METABOLISM OF VITAMINS AND COFACTORS"	-0.0290764684926340	1	239	42	1
"MRNA SPLICING MINOR PATHWAY"	-0.0290764684926340	1	239	42	1
"APOPTOSIS"	-0.0340598571969531	1	239	129	3
"LATE PHASE OF HIV LIFE CYCLE"	-0.0364656310542104	1	239	87	2
"ELONGATION AND PROCESSING OF CAPPED TRANSCRIPTS"	-0.0403546639813559	1	239	133	3
"FORMATION OF PLATELET PLUG"	-0.0422448643425941	1	239	179	4
"METABOLISM OF MRNA"	-0.0433621827783484	1	239	45	1
