Category	Term	Count	Percentage	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-168255~Influenza Infection	19	5.33707865168539	4.93123939297614E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000132341, ENSG00000177600, ENSG00000177700, ENSG00000080824, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000182481, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	157	10946	6.5904236777894	4.27045280915195E-07	7.12564092285052E-08	6.51745473105013E-08
REACTOME_PATHWAY	R-HSA-69620~Cell Cycle Checkpoints	25	7.02247191011236	6.67671999830648E-10	ENSG00000075218, ENSG00000174371, ENSG00000110200, ENSG00000170312, ENSG00000157456, ENSG00000178999, ENSG00000117399, ENSG00000166851, ENSG00000122952, ENSG00000134690, ENSG00000188486, ENSG00000154839, ENSG00000142945, ENSG00000149554, ENSG00000135679, ENSG00000156970, ENSG00000111445, ENSG00000117724, ENSG00000137812, ENSG00000065328, ENSG00000143228, ENSG00000166483, ENSG00000092853, ENSG00000184678, ENSG00000129810	201	293	10946	4.64656240979403	5.78203809942224E-07	7.4719493712814E-08	6.83420513428622E-08
REACTOME_PATHWAY	R-HSA-156902~Peptide chain elongation	15	4.21348314606742	7.83084792269627E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	90	10946	9.07628524046434	6.78151223731938E-07	7.4719493712814E-08	6.83420513428622E-08
REACTOME_PATHWAY	R-HSA-192823~Viral mRNA Translation	15	4.21348314606742	7.83084792269627E-10	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	90	10946	9.07628524046434	6.78151223731938E-07	7.4719493712814E-08	6.83420513428622E-08
GOTERM_CC_DIRECT	GO:0005840~ribosome	17	4.7752808988764	7.97182286459823E-10	ENSG00000149273, ENSG00000137818, ENSG00000149792, ENSG00000142937, ENSG00000110700, ENSG00000198015, ENSG00000138326, ENSG00000174444, ENSG00000260342, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	267	171	20587	7.66539632476948	2.89377140472169E-07	1.42396433749229E-07	1.31020410116371E-07
REACTOME_PATHWAY	R-HSA-68877~Mitotic Prometaphase	21	5.89887640449438	8.61816536479977E-10	ENSG00000156970, ENSG00000146670, ENSG00000117724, ENSG00000175203, ENSG00000137812, ENSG00000170312, ENSG00000157456, ENSG00000178999, ENSG00000080824, ENSG00000198707, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000143228, ENSG00000122952, ENSG00000134690, ENSG00000119638, ENSG00000154839, ENSG00000142945, ENSG00000121152, ENSG00000129810	201	204	10946	5.60594088381621	7.46332816881079E-07	7.4719493712814E-08	6.83420513428622E-08
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	64	17.9775280898876	1.17683003098537E-09	ENSG00000111716, ENSG00000162747, ENSG00000246705, ENSG00000142937, ENSG00000110700, ENSG00000149131, ENSG00000166908, ENSG00000169385, ENSG00000135486, ENSG00000177600, ENSG00000065978, ENSG00000142583, ENSG00000256713, ENSG00000121769, ENSG00000203747, ENSG00000089220, ENSG00000142864, ENSG00000166710, ENSG00000254772, ENSG00000085063, ENSG00000110013, ENSG00000132341, ENSG00000133112, ENSG00000172638, ENSG00000119655, ENSG00000166689, ENSG00000057608, ENSG00000162368, ENSG00000149273, ENSG00000198168, ENSG00000175203, ENSG00000136156, ENSG00000139626, ENSG00000170312, ENSG00000134256, ENSG00000171766, ENSG00000117632, ENSG00000117115, ENSG00000097021, ENSG00000080824, ENSG00000143776, ENSG00000087301, ENSG00000117592, ENSG00000116260, ENSG00000188486, ENSG00000126838, ENSG00000140988, ENSG00000107796, ENSG00000162576, ENSG00000172380, ENSG00000162736, ENSG00000140092, ENSG00000174444, ENSG00000175899, ENSG00000203710, ENSG00000100714, ENSG00000084623, ENSG00000116251, ENSG00000122406, ENSG00000089157, ENSG00000124942, ENSG00000184678, ENSG00000143320, ENSG00000142676	267	2219	20587	2.22384479967863	4.27189227214519E-07	1.42396433749229E-07	1.31020410116371E-07
REACTOME_PATHWAY	R-HSA-72764~Eukaryotic Translation Termination	15	4.21348314606742	1.41619219533374E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	94	10946	8.6900603366148	1.22642166244802E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-2408557~Selenocysteine synthesis	15	4.21348314606742	1.41619219533374E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	94	10946	8.6900603366148	1.22642166244802E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-156827~L13a-mediated translational silencing of Ceruloplasmin expression	16	4.49438202247191	1.65389287103852E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	112	10946	7.77967306325515	1.43227023685633E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-1799339~SRP-dependent cotranslational protein targeting to membrane	16	4.49438202247191	1.8767334900675E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000140612, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	113	10946	7.71082639897856	1.62524983582379E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-72706~GTP hydrolysis and joining of the 60S ribosomal subunit	16	4.49438202247191	1.8767334900675E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	113	10946	7.71082639897856	1.62524983582379E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-975956~Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	15	4.21348314606742	1.88324163974831E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	96	10946	8.50901741293532	1.63088596105698E-06	1.02048156353862E-07	9.33381637700257E-08
REACTOME_PATHWAY	R-HSA-168273~Influenza Viral RNA Transcription and Replication	17	4.7752808988764	3.23066437468918E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000177700, ENSG00000080824, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	136	10946	6.80721393034826	2.79775146350136E-06	1.64763883109148E-07	1.50700991125207E-07
REACTOME_PATHWAY	R-HSA-72613~Eukaryotic Translation Initiation	16	4.49438202247191	4.38471102970893E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	120	10946	7.26102819237148	3.79715255860447E-06	2.0008128751356E-07	1.83003991924167E-07
REACTOME_PATHWAY	R-HSA-72737~Cap-dependent Translation Initiation	16	4.49438202247191	4.38471102970893E-09	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	120	10946	7.26102819237148	3.79715255860447E-06	2.0008128751356E-07	1.83003991924167E-07
GOTERM_CC_DIRECT	GO:0005813~centrosome	28	7.86516853932584	4.40919306897612E-09	ENSG00000137807, ENSG00000165480, ENSG00000175203, ENSG00000170312, ENSG00000168071, ENSG00000157456, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000188486, ENSG00000142945, ENSG00000149554, ENSG00000107890, ENSG00000169607, ENSG00000102760, ENSG00000143476, ENSG00000163808, ENSG00000066279, ENSG00000117724, ENSG00000162063, ENSG00000198707, ENSG00000121957, ENSG00000119638, ENSG00000166803, ENSG00000138180, ENSG00000129810, ENSG00000166689, ENSG00000123473	267	558	20587	3.86906152255917	1.60053582587416E-06	3.41125722669483E-07	3.13873254467238E-07
GOTERM_CC_DIRECT	GO:0005829~cytosol	116	32.5842696629214	4.69870141418021E-09	ENSG00000075218, ENSG00000142937, ENSG00000110700, ENSG00000166908, ENSG00000175224, ENSG00000241058, ENSG00000198901, ENSG00000198746, ENSG00000128915, ENSG00000142945, ENSG00000019995, ENSG00000089220, ENSG00000140367, ENSG00000102760, ENSG00000143476, ENSG00000254772, ENSG00000175197, ENSG00000163808, ENSG00000175470, ENSG00000129173, ENSG00000138326, ENSG00000132341, ENSG00000117724, ENSG00000171311, ENSG00000143228, ENSG00000138160, ENSG00000123473, ENSG00000149273, ENSG00000110200, ENSG00000065357, ENSG00000111653, ENSG00000177700, ENSG00000157456, ENSG00000117632, ENSG00000117115, ENSG00000178999, ENSG00000198915, ENSG00000060982, ENSG00000134690, ENSG00000100526, ENSG00000117592, ENSG00000102547, ENSG00000140988, ENSG00000149554, ENSG00000107796, ENSG00000135679, ENSG00000146670, ENSG00000174444, ENSG00000226650, ENSG00000162063, ENSG00000116251, ENSG00000119638, ENSG00000121957, ENSG00000101447, ENSG00000122406, ENSG00000121152, ENSG00000089157, ENSG00000124942, ENSG00000143320, ENSG00000160049, ENSG00000111716, ENSG00000118193, ENSG00000135486, ENSG00000177600, ENSG00000066427, ENSG00000065978, ENSG00000198826, ENSG00000142102, ENSG00000117650, ENSG00000182481, ENSG00000121769, ENSG00000154839, ENSG00000142864, ENSG00000166710, ENSG00000156970, ENSG00000130766, ENSG00000139734, ENSG00000111665, ENSG00000133112, ENSG00000117245, ENSG00000051341, ENSG00000126787, ENSG00000129810, ENSG00000057608, ENSG00000166689, ENSG00000162368, ENSG00000154146, ENSG00000137807, ENSG00000214530, ENSG00000123080, ENSG00000175203, ENSG00000165480, ENSG00000174516, ENSG00000168071, ENSG00000170312, ENSG00000097021, ENSG00000080824, ENSG00000117399, ENSG00000143776, ENSG00000122952, ENSG00000166851, ENSG00000089009, ENSG00000104081, ENSG00000169607, ENSG00000084110, ENSG00000092529, ENSG00000137818, ENSG00000137812, ENSG00000198707, ENSG00000122966, ENSG00000100714, ENSG00000084623, ENSG00000140534, ENSG00000182774, ENSG00000184678, ENSG00000142676	267	5521	20587	1.62002622604736	1.70562716772515E-06	3.41125722669483E-07	3.13873254467238E-07
GOTERM_BP_DIRECT	GO:0006412~translation	18	5.0561797752809	7.41391762609371E-09	ENSG00000149273, ENSG00000137818, ENSG00000149792, ENSG00000142937, ENSG00000110700, ENSG00000198015, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000260342, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	259	221	19357	6.08721326368385	1.10170208932336E-05	2.75241691868729E-06	2.72090776877639E-06
REACTOME_PATHWAY	R-HSA-68886~M Phase	28	7.86516853932584	9.9410007241642E-09	ENSG00000137807, ENSG00000246705, ENSG00000110200, ENSG00000175203, ENSG00000170312, ENSG00000157456, ENSG00000178999, ENSG00000080824, ENSG00000117399, ENSG00000117650, ENSG00000166851, ENSG00000122952, ENSG00000134690, ENSG00000188486, ENSG00000154839, ENSG00000142945, ENSG00000175470, ENSG00000156970, ENSG00000146670, ENSG00000132341, ENSG00000117724, ENSG00000137812, ENSG00000198707, ENSG00000143228, ENSG00000119638, ENSG00000121152, ENSG00000184678, ENSG00000129810	201	418	10946	3.64788497702873	8.60886958320428E-06	4.30942381392518E-07	3.9416067871311E-07
GOTERM_BP_DIRECT	GO:0000278~mitotic cell cycle	15	4.21348314606742	1.18015346957473E-08	ENSG00000163808, ENSG00000175470, ENSG00000146670, ENSG00000117724, ENSG00000132341, ENSG00000165480, ENSG00000178999, ENSG00000122966, ENSG00000117650, ENSG00000166851, ENSG00000134690, ENSG00000166483, ENSG00000138160, ENSG00000119638, ENSG00000154839	259	148	19357	7.57474173014714	1.75369269674874E-05	3.50505580463695E-06	3.46493058667141E-06
REACTOME_PATHWAY	R-HSA-72766~Translation	23	6.46067415730337	1.68833365974382E-08	ENSG00000149273, ENSG00000137818, ENSG00000149792, ENSG00000142937, ENSG00000110700, ENSG00000198015, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000084623, ENSG00000102738, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000140612, ENSG00000089157, ENSG00000143374, ENSG00000103356, ENSG00000182774, ENSG00000142676, ENSG00000254772	201	292	10946	4.28947727117836	1.46208627485045E-05	6.97040610951379E-07	6.37546948655644E-07
GOTERM_MF_DIRECT	GO:0005515~protein binding	210	58.9887640449438	1.90196736007267E-08	ENSG00000174371, ENSG00000104147, ENSG00000143190, ENSG00000110700, ENSG00000253719, ENSG00000175224, ENSG00000198901, ENSG00000128915, ENSG00000107890, ENSG00000140367, ENSG00000089220, ENSG00000184743, ENSG00000102760, ENSG00000163808, ENSG00000175470, ENSG00000095574, ENSG00000171311, ENSG00000135451, ENSG00000110492, ENSG00000172638, ENSG00000119655, ENSG00000081177, ENSG00000138160, ENSG00000092853, ENSG00000140479, ENSG00000166887, ENSG00000123473, ENSG00000149273, ENSG00000131747, ENSG00000134574, ENSG00000169241, ENSG00000135424, ENSG00000157456, ENSG00000178999, ENSG00000134690, ENSG00000117592, ENSG00000102547, ENSG00000132964, ENSG00000135679, ENSG00000162736, ENSG00000076258, ENSG00000146670, ENSG00000159189, ENSG00000162063, ENSG00000085999, ENSG00000116251, ENSG00000119638, ENSG00000121957, ENSG00000101447, ENSG00000169375, ENSG00000121152, ENSG00000189403, ENSG00000149131, ENSG00000118193, ENSG00000109919, ENSG00000169385, ENSG00000065978, ENSG00000117650, ENSG00000182481, ENSG00000154839, ENSG00000160695, ENSG00000142864, ENSG00000126264, ENSG00000130766, ENSG00000074696, ENSG00000111665, ENSG00000133112, ENSG00000173409, ENSG00000126709, ENSG00000187122, ENSG00000168067, ENSG00000051341, ENSG00000149489, ENSG00000166689, ENSG00000143387, ENSG00000158747, ENSG00000137807, ENSG00000154144, ENSG00000123080, ENSG00000137804, ENSG00000198840, ENSG00000198168, ENSG00000152404, ENSG00000136156, ENSG00000165480, ENSG00000174516, ENSG00000168071, ENSG00000024526, ENSG00000134531, ENSG00000089009, ENSG00000188486, ENSG00000010803, ENSG00000143374, ENSG00000110917, ENSG00000092529, ENSG00000137818, ENSG00000171492, ENSG00000111206, ENSG00000140092, ENSG00000116459, ENSG00000111445, ENSG00000137812, ENSG00000198707, ENSG00000102738, ENSG00000185088, ENSG00000140534, ENSG00000270136, ENSG00000185885, ENSG00000184678, ENSG00000075218, ENSG00000066185, ENSG00000142937, ENSG00000166908, ENSG00000117614, ENSG00000151651, ENSG00000173207, ENSG00000198746, ENSG00000139644, ENSG00000142945, ENSG00000019995, ENSG00000203747, ENSG00000143476, ENSG00000254772, ENSG00000175197, ENSG00000165949, ENSG00000129173, ENSG00000117724, ENSG00000132341, ENSG00000229344, ENSG00000139651, ENSG00000143228, ENSG00000166483, ENSG00000166803, ENSG00000214063, ENSG00000149792, ENSG00000229474, ENSG00000110200, ENSG00000139626, ENSG00000111653, ENSG00000177700, ENSG00000117632, ENSG00000139187, ENSG00000134291, ENSG00000100526, ENSG00000087301, ENSG00000140988, ENSG00000149554, ENSG00000162576, ENSG00000127884, ENSG00000132688, ENSG00000172380, ENSG00000139636, ENSG00000174444, ENSG00000175899, ENSG00000203710, ENSG00000150527, ENSG00000122406, ENSG00000166946, ENSG00000089157, ENSG00000124942, ENSG00000140612, ENSG00000143320, ENSG00000160049, ENSG00000111716, ENSG00000135486, ENSG00000075131, ENSG00000177600, ENSG00000066427, ENSG00000173369, ENSG00000117133, ENSG00000142583, ENSG00000158481, ENSG00000121769, ENSG00000160058, ENSG00000166710, ENSG00000148688, ENSG00000085063, ENSG00000133997, ENSG00000149084, ENSG00000156970, ENSG00000198892, ENSG00000173372, ENSG00000051180, ENSG00000117480, ENSG00000126787, ENSG00000129810, ENSG00000057608, ENSG00000214530, ENSG00000175567, ENSG00000175203, ENSG00000170312, ENSG00000171766, ENSG00000097021, ENSG00000080824, ENSG00000189057, ENSG00000117399, ENSG00000143776, ENSG00000166851, ENSG00000122952, ENSG00000100603, ENSG00000104081, ENSG00000065328, ENSG00000122966, ENSG00000100714, ENSG00000084623, ENSG00000138180, ENSG00000148773, ENSG00000069482, ENSG00000145388, ENSG00000142676	255	12623	18913	1.23389144931521	8.90116772034322E-06	4.45060362257004E-06	4.3840347649675E-06
GOTERM_BP_DIRECT	GO:0000070~mitotic sister chromatid segregation	9	2.52808988764045	1.95832453215514E-08	ENSG00000117650, ENSG00000166851, ENSG00000122952, ENSG00000134690, ENSG00000138160, ENSG00000137804, ENSG00000237649, ENSG00000132341, ENSG00000129810	259	36	19357	18.6843629343629	2.91002794665651E-05	4.84685321708398E-06	4.79136735533958E-06
REACTOME_PATHWAY	R-HSA-927802~Nonsense-Mediated Decay (NMD)	15	4.21348314606742	2.31267576319329E-08	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	116	10946	7.04194544518785	2.00275717761045E-05	8.71778211603731E-07	7.9737038270099E-07
REACTOME_PATHWAY	R-HSA-975957~Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	15	4.21348314606742	2.31267576319329E-08	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	116	10946	7.04194544518785	2.00275717761045E-05	8.71778211603731E-07	7.9737038270099E-07
REACTOME_PATHWAY	R-HSA-9711097~Cellular response to starvation	17	4.7752808988764	2.60719334436032E-08	ENSG00000149273, ENSG00000175197, ENSG00000137818, ENSG00000130766, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	157	10946	5.89669486960104	2.25780397222763E-05	9.41848595650166E-07	8.61460134199056E-07
REACTOME_PATHWAY	R-HSA-2408522~Selenoamino acid metabolism	15	4.21348314606742	3.21960315274515E-08	ENSG00000149273, ENSG00000137818, ENSG00000142937, ENSG00000110700, ENSG00000138326, ENSG00000174444, ENSG00000177600, ENSG00000116251, ENSG00000185088, ENSG00000089009, ENSG00000122406, ENSG00000140988, ENSG00000089157, ENSG00000182774, ENSG00000142676	201	119	10946	6.86441740875455	2.78813750416162E-05	1.11655837337202E-06	1.02125812005076E-06
GOTERM_CC_DIRECT	GO:0005819~spindle	14	3.93258426966292	6.23812401141051E-08	ENSG00000149273, ENSG00000163808, ENSG00000137807, ENSG00000156970, ENSG00000137804, ENSG00000066279, ENSG00000117724, ENSG00000198901, ENSG00000178999, ENSG00000117399, ENSG00000166851, ENSG00000138160, ENSG00000101447, ENSG00000142945	267	147	20587	7.34332084893883	2.26441344666206E-05	3.77406502690336E-06	3.47255569968518E-06
