"Annotation (pathway/process)"	"XD-score"	"Fisher q-value"	"Gene set size"	"Pathway size"	"Overlap size"
"FORMATION OF THE TERNARY COMPLEX AND SUBSEQUENTLY THE 43S COMPLEX"	0.360167285911726	1	255	49	3
"IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON LYMPHOID CELL"	0.354601423203006	0.89058116364644	255	66	4
"ACTIVATION OF NMDA RECEPTOR UPON GLUTAMATE BINDING AND POSTSYNAPTIC EVENTS"	0.354601423203006	1	255	33	2
"APCDC20 MEDIATED DEGRADATION OF CYCLIN B"	0.338558642454343	1	255	17	1
"CHYLOMICRON MEDIATED LIPID TRANSPORT"	0.338558642454343	1	255	17	1
"CONVERSION FROM APC CDC20 TO APC CDH1 IN LATE ANAPHASE"	0.338558642454343	1	255	17	1
"FANCONI ANEMIA PATHWAY"	0.338558642454343	1	255	17	1
"GLUCAGON SIGNALING IN METABOLIC REGULATION"	0.338558642454343	1	255	34	2
"NUCLEOTIDE LIKE PURINERGIC RECEPTORS"	0.338558642454343	1	255	17	1
"PKA ACTIVATION"	0.338558642454343	1	255	17	1
"POST CHAPERONIN TUBULIN FOLDING PATHWAY"	0.338558642454343	1	255	17	1
"TRANSLATION"	0.338558642454343	0.322403684185502	255	119	7
"SYNTHESIS AND INTERCONVERSION OF NUCLEOTIDE DI AND TRIPHOSPHATES"	0.338558642454343	1	255	17	1
"INACTIVATION OF APC VIA DIRECT INHIBITION OF THE APCOMPLEX"	0.309146877748461	1	255	18	1
"MITOCHONDRIAL TRNA AMINOACYLATION"	0.309146877748461	1	255	18	1
"PYRUVATE METABOLISM"	0.309146877748461	1	255	18	1
"PYRUVATE METABOLISM AND TCA CYCLE"	0.309146877748461	1	255	36	2
"NA CL DEPENDENT NEUROTRANSMITTER TRANSPORTERS"	0.309146877748461	1	255	18	1
"INSULIN SYNTHESIS AND SECRETION"	0.301334377748461	0.433085922122713	255	128	7
"TRNA AMINOACYLATION"	0.295633364234947	1	255	37	2
"TRANSLATION INITIATION COMPLEX FORMATION"	0.291289734891318	1	255	56	3
"CELL CYCLE MITOTIC"	0.285968069801441	0.0275279993854451	255	302	16
"CITRIC ACID CYCLE"	0.282831088274776	1	255	19	1
"MYD88 CASCADE"	0.282831088274776	1	255	19	1
"PEROXISOMAL LIPID METABOLISM"	0.282831088274776	1	255	19	1
"UNFOLDED PROTEIN RESPONSE"	0.282831088274776	1	255	19	1
"INFLUENZA LIFE CYCLE"	0.279296131479804	0.505341380963216	255	134	7
"CTLA4 INHIBITORY SIGNALING"	0.259146877748461	1	255	20	1
"G BETA GAMMA SIGNALLING THROUGH PLC BETA"	0.259146877748461	1	255	20	1
"STEROID METABOLISM"	0.244630748716203	1	255	62	3
"ERK MAPK TARGETS"	0.237718306319889	1	255	21	1
"INNATE IMMUNITY SIGNALING"	0.237718306319889	1	255	105	5
"METABOLISM OF VITAMINS AND COFACTORS"	0.237718306319889	1	255	42	2
"STEROID HORMONES"	0.237718306319889	1	255	21	1
"ADP SIGNALLING THROUGH P2Y PURINOCEPTOR 12"	0.237718306319889	1	255	21	1
"CYTOSOLIC TRNA AMINOACYLATION"	0.21823778683937	1	255	22	1
"MAP KINASES ACTIVATION IN TLR CASCADE"	0.21823778683937	1	255	44	2
"ACTIVATED TLR4 SIGNALLING"	0.200451225574548	1	255	23	1
"TOLL LIKE RECEPTOR 9 CASCADE"	0.200451225574548	1	255	23	1
"CREB PHOPHORYLATION THROUGH THE ACTIVATION OF RAS"	0.200451225574548	1	255	23	1
"THROMBOXANE SIGNALLING THROUGH TP RECEPTOR"	0.200451225574548	1	255	23	1
"CAM PATHWAY"	0.184146877748461	1	255	24	1
"DARPP32 EVENTS"	0.184146877748461	1	255	24	1
"NUCLEAR EVENTS KINASE AND TRANSCRIPTION FACTOR ACTIVATION"	0.184146877748461	1	255	24	1
"SEMA4D INDUCED CELL MIGRATION AND GROWTH CONE COLLAPSE"	0.184146877748461	1	255	24	1
"G BETA GAMMA SIGNALLING THROUGH PI3KGAMMA"	0.184146877748461	1	255	24	1
"ADP SIGNALLING THROUGH P2Y PURINOCEPTOR 1"	0.169146877748461	1	255	25	1
"BASIGIN INTERACTIONS"	0.169146877748461	1	255	25	1
"METABOLISM OF PROTEINS"	0.150379105236612	1	255	211	8
"TRAF6 MEDIATED INDUCTION OF THE ANTIVIRAL CYTOKINE IFN ALPHA BETA CASCADE"	0.148769519257895	1	255	53	2
"GLUCOSE AND OTHER SUGAR SLC TRANSPORTERS"	0.146646877748461	1	255	80	3
"NEURORANSMITTER RECEPTOR BINDING AND DOWNSTREAM TRANSMISSION IN THE POSTSYNAPTIC CELL"	0.146646877748461	1	255	80	3
"G PROTEIN BETA GAMMA SIGNALLING"	0.142480211081794	1	255	27	1
"GLUCOSE METABOLISM"	0.142480211081794	1	255	54	2
"GS ALPHA MEDIATED EVENTS IN GLUCAGON SIGNALLING"	0.142480211081794	1	255	27	1
"LIPOPROTEIN METABOLISM"	0.142480211081794	1	255	27	1
"NEUROTRANSMITTER RELEASE CYCLE"	0.142480211081794	1	255	27	1
"TOLL LIKE RECEPTOR 4 CASCADE"	0.142480211081794	1	255	27	1
"THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS"	0.142480211081794	1	255	27	1
"G PROTEIN ACTIVATION"	0.130575449177032	1	255	28	1
"AMINE COMPOUND SLC TRANSPORTERS"	0.130575449177032	1	255	28	1
"RNA POLYMERASE I PROMOTER OPENING"	0.130575449177032	1	255	28	1
"METABOLISM OF LIPIDS AND LIPOPROTEINS"	0.129146877748461	1	255	225	8
"METABOLISM OF CARBOHYDRATES"	0.127730948544921	1	255	113	4
"TOLL RECEPTOR CASCADES"	0.126793936571990	1	255	85	3
"INTRINSIC PATHWAY FOR APOPTOSIS"	0.119491705334668	1	255	29	1
"PACKAGING OF TELOMERE ENDS"	0.119491705334668	1	255	29	1
"SEMA4D IN SEMAPHORIN SIGNALING"	0.119491705334668	1	255	29	1
"INHIBITION OF INSULIN SECRETION BY ADRENALINE NORADRENALINE"	0.119491705334668	1	255	29	1
"SIGNALING IN IMMUNE SYSTEM"	0.116600293897529	1	255	322	11
"TOLL LIKE RECEPTOR 3 CASCADE"	0.114231623511173	1	255	59	2
"ACTIVATION OF THE PRE REPLICATIVE COMPLEX"	0.109146877748461	1	255	30	1
"AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE"	0.109146877748461	1	255	30	1
"REGULATION OF INSULIN SECRETION BY GLUCAGON LIKE PEPTIDE 1"	0.109146877748461	1	255	60	2
"ACTIVATION OF KAINATE RECEPTORS UPON GLUTAMATE BINDING"	0.109146877748461	1	255	30	1
"CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE"	0.104228844961576	1	255	61	2
"REGULATION OF LIPID METABOLISM BY PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR ALPHA"	0.104228844961576	1	255	61	2
"SIGNAL AMPLIFICATION"	0.0994694583936222	1	255	31	1
"TRANSMISSION ACROSS CHEMICAL SYNAPSES"	0.0971468777484608	1	255	125	4
"DIABETES PATHWAYS"	0.0926114446775946	1	255	381	12
"FORMATION OF FIBRIN CLOT CLOTTING CASCADE"	0.0903968777484608	1	255	32	1
"SIGNALING BY PDGF"	0.0903968777484608	1	255	64	2
"GLUCAGON TYPE LIGAND RECEPTORS"	0.0818741504757336	1	255	33	1
"PLC GAMMA1 SIGNALLING"	0.0818741504757336	1	255	33	1
"TRKA SIGNALLING FROM THE PLASMA MEMBRANE"	0.0764736104217281	1	255	101	3
"GENERIC TRANSCRIPTION PATHWAY"	0.066289734891318	1	255	35	1
"SIGNALLING BY NGF"	0.0626680045090242	1	255	213	6
"PLC BETA MEDIATED EVENTS"	0.0591468777484608	1	255	36	1
"ACTIVATION OF ATR IN RESPONSE TO REPLICATION STRESS"	0.0523901209917042	1	255	37	1
"ELECTRON TRANSPORT CHAIN"	0.0523901209917042	1	255	74	2
"PI3K AKT SIGNALLING"	0.0523901209917042	1	255	37	1
"GENE EXPRESSION"	0.0454237273904657	1	255	419	11
"MEMBRANE TRAFFICKING"	0.0429131115146947	1	255	77	2
"METABOLISM OF AMINO ACIDS"	0.0341468777484608	1	255	160	4
"OPIOID SIGNALLING"	0.031369099970683	1	255	81	2
"P75 NTR RECEPTOR MEDIATED SIGNALLING"	0.0286590728704121	1	255	82	2
"PLATELET DEGRANULATION"	0.0286590728704121	1	255	82	2
"SLC MEDIATED TRANSMEMBRANE TRANSPORT"	0.0260143476279789	1	255	166	4
"G2 M CHECKPOINTS"	0.0234325920341751	1	255	42	1
"TRANSMEMBRANE TRANSPORT OF SMALL MOLECULES"	0.0204144833822637	1	255	213	5
"NCAM1 INTERACTIONS"	0.0184492033298561	1	255	43	1
"CELL SURFACE INTERACTIONS AT THE VASCULAR WALL"	0.0069490755506586	1	255	91	2
"INORGANIC CATION ANION SLC TRANSPORTERS"	0.00269526484523501	1	255	93	2
"AMINO ACID AND OLIGOPEPTIDE SLC TRANSPORTERS"	0.000636239450588514	1	255	47	1
"REGULATION OF ORNITHINE DECARBOXYLASE"	0.000636239450588514	1	255	47	1
"SCF BETA TRCP MEDIATED DEGRADATION OF EMI1"	-0.00335312225153928	1	255	48	1
"HORMONE BIOSYNTHESIS"	-0.0108531222515392	1	255	50	1
"RNA POLYMERASE I PROMOTER CLEARANCE"	-0.0108531222515392	1	255	50	1
"G1 S TRANSITION"	-0.0126353004693609	1	255	101	2
"SCF SKP2 MEDIATED DEGRADATION OF P27 P21"	-0.0177761991746162	1	255	52	1
